"ASMEB18.15.2Adef"
"Dia","TPI","A","B","C","D","E","G","J","K","Ls","R"
"1/4in",20,0.28,1.06,0.81,1.19,0.25,0.75,0.81,0.56,0.19,0.025
"5/16in",18,0.34,1.19,0.94,1.44,0.31,0.81,1.00,0.62,0.19,0.025
"3/8in",16,0.41,1.38,1.06,1.69,0.38,0.88,1.19,0.69,0.19,0.025
"7/16in",14,0.47,1.50,1.12,1.81,0.41,1.00,1.31,0.81,0.25,0.025
"1/2in",13,0.53,1.62,1.25,2.12,0.50,1.12,1.44,0.94,0.25,0.025
"9/16in",12,0.59,1.75,1.31,2.25,0.53,1.25,1.62,1.00,0.28,0.045
"5/8in",11,0.66,1.88,1.44,2.56,0.62,1.38,1.72,1.06,0.31,0.045
"3/4in",10,0.78,2.12,1.56,2.81,0.69,1.62,1.91,1.25,0.31,0.045
"7/8in",9,0.91,2.38,1.69,3.19,0.81,1.81,2.22,1.44,0.38,0.065
"1in",8,1.06,2.62,1.81,3.56,0.94,2.06,2.41,1.62,0.44,0.095
"1 1/8in",7,1.19,2.88,2.06,4.06,1.06,2.31,2.78,1.81,0.50,0.095
"1 1/4in",7,1.34,3.12,2.25,4.44,1.16,2.50,3.03,2.00,0.56,0.095
"1 1/2in",6,1.59,3.62,2.56,5.19,1.38,3.00,3.44,2.25,0.62,0.095
"1 3/4in",5,1.84,3.88,3.00,6.00,1.62,3.19,4.12,2.62,0.62,0.095
"2in",4.5,2.09,4.12,3.44,6.88,1.88,3.38,4.50,3.00,0.75,0.095
